Date,Lab #,,ID,Stream,Location,rkm,Sampler,Sample time,Tw_C,Notes,EC_us_cm,pH,Turbidity-NTU,DOC-ppm,NH4-ppm,NO3-ppm,TIN,TN-ppm,PO4-ppm,TP-ppm,N:P,
11/17/2017,Ann 1,,LSR,Little Shasta River,Hart-Baccigalupi Boundary,21.0,ADW,8:35,5.9,,252.7,7.82,1.45,1.8,0.00,0.16,0.16,0.36,0.075,0.079,4.52,
11/17/2017,Ann 2,,LSM,Little Shasta River,Above the Musgrave diversion,19.0,ADW,9:16,5.7,,327.9,7.66,1.77,2.2,0.02,0.10,0.12,0.31,0.081,0.090,3.43,
11/17/2017,Ann 3,,LSH,Little Shasta River,Above the Hart-Haight diversion,18.6,ADW,9:50,5.7,,361.7,7.54,1.03,2.2,0.03,0.10,0.13,0.23,0.078,0.084,2.76,
12/21/2017,Ann 6,,LSR,Little Shasta River,Bacigalupi boundary,21.0,ADW,10:45,,,132.9,7.99,1.17,1.1,0.05,0.20,0.25,0.40,0.086,0.090,4.42,
12/21/2017,Ann 7,,LSM,Little Shasta River,Above Musgrave,19.0,ADW,11:35,,,208.0,8.00,2.72,1.6,0.05,0.16,0.21,0.30,0.089,0.124,2.39,
12/21/2017,Ann 8,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,12:10,,,233.0,7.83,1.33,1.7,0.04,0.16,0.20,0.24,0.084,0.093,2.62,
1/29/2018,ANN 13,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,10:30,5.0,,201.0,7.67,3.9,2.9,0.03,0.10,0.12,0.27,0.014,0.095,2.88,
1/29/2018,ANN 14,,LSM,Little Shasta River,Above Musgrave,19.0,ADW,11:15,5.2,,183.1,7.85,4.26,2.9,0.04,0.09,0.13,0.29,0.008,0.108,2.67,
1/29/2018,ANN 15,,LSR,Little Shasta River,Bacigalupi boundary,21.0,ADW,12:10,5.5,,120.0,7.83,4.11,2.7,0.02,0.10,0.12,0.23,0.004,0.082,2.82,
2/25/2018,ANN 16,,LSR,Little Shasta River,Bacigalupi boundary,21.0,ADW,10:45,5.0,,124.7,8.04,1.60,1.3,0.03,0.14,0.17,0.27,0.063,0.077,3.53,
2/25/2018,ANN 17,,LSM,Little Shasta River,Above Musgrave,19.0,ADW,12:09,5.4,,157.2,7.87,1.30,1.3,0.03,0.09,0.12,0.29,0.065,0.073,3.98,
2/25/2018,ANN 18,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,12:45,5.7,,190.2,7.88,1.10,1.4,0.03,0.09,0.12,0.29,0.063,0.067,4.29,
3/31/2018,Ann 21,,LSR,Little Shasta River,Bacigalupi boundary,21.0,ADW,13:05,7.1,,166.4,7.67,10.60,4.7,0.01,0.04,0.05,0.21,0.032,0.060,3.53,
3/31/2018,Ann 22,,LSM,Little Shasta River,Above Musgrave,19.0,ADW,12:07,8.0,,121.1,7.61,9.97,4.8,0.01,0.02,0.03,0.21,0.034,0.070,3.04,
3/31/2018,Ann 23,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,11:06,8.6,,97.1,7.56,10.20,4.9,0.01,0.03,0.04,0.22,0.030,0.057,3.77,
4/25/2018,Ann 24,,LSR,Little Shasta River,Bacigalupi boundary,21,RAL,,,,202.7,7.57,6.46,3.4,0.04,0.01,0.05,0.19,0.024,0.057,3.33,
4/25/2018,Ann 25,,LSM,Little Shasta River,Above Musgrave,19,RAL,,,,124.5,7.67,5.81,3.3,0.02,0.01,0.02,0.19,0.026,0.050,3.72,
4/25/2018,Ann 26,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,RAL,,,,110.0,7.68,1.20,1.2,0.02,0.23,0.25,0.33,0.107,0.132,2.50,
5/29/2018,ANN 28,,LSR,Little Shasta River,Bacigalupi boundary,21,RAL,,,,118.9,7.56,1.79,2.0,0.04,0.03,0.07,0.20,0.037,0.060,3.32,
5/29/2018,ANN 29,,LSM,Little Shasta River,Above Musgrave,19,RAL,,,,140.2,7.61,2.03,2.2,0.04,0.02,0.06,0.16,0.040,0.057,2.78,
5/29/2018,ANN 30,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,RAL,,,,211.5,7.58,1.46,2.1,0.03,0.02,0.05,0.16,0.037,0.050,3.18,
6/14/2018,Ann 31,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,8:09,,,138.5,7.71,1.52,1.7,0.00,0.00,0.00,0.14,0.042,0.054,2.49,
6/14/2018,Ann 32,,LSM,Little Shasta River,Above Musgrave,19,ADW,14:05,,,272.6,7.59,1.33,2.0,0.00,0.00,0.00,0.09,0.029,0.047,1.90,
6/14/2018,Ann 33,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,13:52,,,146.5,7.62,1.81,2.2,0.00,0.00,0.00,0.09,0.039,0.061,1.48,
7/27/2018,Ann 34,,LSR,Little Shasta River,Bacigalupi boundary,21,RAL,,,,139.9,7.74,1.73,2.0,0.00,0.03,0.04,0.18,0.071,0.081,2.27,
7/27/2018,Ann 35,,LSM,Little Shasta River,Above Musgrave,19,RAL,,,,310.0,7.73,28.4,2.0,0.03,0.03,0.06,0.48,0.062,0.069,6.87,
7/27/2018,Ann 36,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,RAL,,,,158.6,8.06,2.26,2.0,0.01,0.02,0.02,0.21,0.028185582,0.088,2.43,
8/22/2018,Ann 37,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,14:15,,,347.1,7.71,1.57,1.5,0.03,0.08,0.11,0.13,0.028185582,0.061,2.18,
8/22/2018,Ann 38,,LSM,Little Shasta River,Above Musgrave,19,ADW,13:10,,,156.6,7.73,2.23,1.5,0.00,0.02,0.02,0.13,0.034676329,0.064,1.98,
8/22/2018,Ann 39,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,11:54,,,126.3,7.75,1.15,1.4,0.01,0.11,0.12,0.13,0.031426473,0.065,1.98,
9/19/2018,Ann 42,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,10:11,9.9,,132.7,8.23,1.46,1.184,0.013,0.076,0.09,0.28,0.047131142,0.060997938,4.52,
9/19/2018,Ann 43,,LSM,Little Shasta River,Above Musgrave,19,ADW,10:25,10.6,,151.4,8.2,1.83,1.513,0.013,0.064,0.08,0.25,0.05844765,0.06599712,3.85,
9/19/2018,Ann 44,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,10:35,10.3,,303.7,7.96,1.19,1.322,0.039,0.047,0.09,0.29,0.041,0.052783418,5.46,
10/20/2018,Ann 47,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,13:33,9.9,,130.7,8.02,1.84,1.522,0.001,0.035,0.04,0.12,0.057676358,0.1037226,1.15,
10/20/2018,Ann 48,,LSM,Little Shasta River,Above Musgrave,19,ADW,14:28,10.8,,169.5,7.98,2.58,1.755,0.000,0.000,0.00,0.11,0.056018929,0.0880281,1.31,
10/20/2018,Ann 49,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,14:45,10.2,,430,7.5,1.99,1.858,0.048,0.036,0.08,0.20,0.036304619,0.0754725,2.59,
11/14/2018,Ann 51,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,10:45,5.6,,103.2,7.79,0.96,0.919,0.000,0.141,0.14,0.097,0.088,0.089,1.09,
11/14/2018,Ann 52,,LSM,Little Shasta River,Above Musgrave,19,ADW,11:30,4.7,,167.1,7.74,2.5,1.744,0.063,0.061,0.12,0.081,0.088,0.089,0.91,
11/14/2018,Ann 53,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,11:46,4.6,,227.2,7.52,5.09,1.873,0.018,0.065,0.08,0.130,0.079,0.117,1.11,
12/19/2018,Ann 57,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,11:21,5.7,,101.5,7.54,2.30,1.571,0.000,0.109,0.11,0.680,0.064,0.116,5.87,
12/19/2018,Ann 58,,LSM,Little Shasta River,Above Musgrave,19,ADW,11:45,5.5,,148.7,7.49,3.24,1.753,0.003,0.062,0.06,0.721,0.071,0.125,5.76,
12/19/2018,Ann 59,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,10:55,5.0,,175.9,7.36,8.41,1.833,0.011,0.076,0.09,1.124,0.067,0.212,5.30,
1/25/2019,Ann 63,,LSR,Little Shasta River,Bacigalupi boundary,21,ADW,8:08,2.6,,101.0,7.33,8.29,4.047,0.011,0.111,0.12,0.344,0.053,0.097,3.54,
1/25/2019,Ann 64,,LSM,Little Shasta River,Above Musgrave,19,ADW,8:41,2.2,,155.5,7.34,6.80,3.803,0.030,0.095,0.13,0.284,0.063,0.097,2.92,
1/25/2019,Ann 65,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,ADW,9:01,2.2,,166.0,7.29,7.32,3.763,0.045,0.092,0.14,0.279,0.063,0.100,2.77,
1/28/2019,Ann 69,,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,11:55,3.5,,104.5,7.63,23.4,8.644,0.010,0.058,0.07,0.430,0.092,0.196,2.19,
1/28/2019,Ann 70,,LSM,Little Shasta River,Above Musgrave,19,AKL,12:30,4,,148.9,7.94,22.4,8.297,0.008,0.058,0.07,0.436,0.103,0.196,2.22,
1/28/2019,Ann 71,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,15:00,5.1,,946.4,7.9,23.9,8.266,0.009,0.053,0.06,0.453,0.101,0.214,2.12,
3/21/2019,Ann 76,,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,,,,1027,7.99,12.1,7.358,0.017,0.000,0.02,0.355,0.038,0.072,4.90,
3/21/2019,Ann 77,,LSM,Little Shasta River,Above Musgrave,19,AKL,,,,91.63,7.65,13.3,7.590,0.016,0.000,0.02,0.322,0.050,0.083,3.90,
3/21/2019,Ann 78,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,,,,93.59,7.52,13.1,7.838,0.016,0.000,0.02,0.293,0.037,0.072,4.05,
4/16/2019,Ann 82,,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,,,,77.2,7.84,8.04,6.830 ,0.008 ,0.003 ,0.01,0.185,0.028 ,0.055,3.36,
4/16/2019,Ann 83,,LSM,Little Shasta River,Above Musgrave,19,AKL,,,,94.9,7.66,7.95,6.870 ,0.011 ,0.002 ,0.01,0.156,0.035 ,0.062,2.52,
4/16/2019,Ann 84,,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,,,,108.1,7.83,8.48,6.841 ,0.012 ,0.002 ,0.01,0.235,0.036 ,0.065,3.61,
5/1/2019,Ann 89,Ann 89,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,12:00,7.4,,76.41,7.8,6.42,4.169 ,0.009,0.017,0.03,0.138,0.015,0.046,2.97,
5/1/2019,Ann 90,Ann 90,LSM,Little Shasta River,Above Musgrave,19,AKL,13:00,9.1,,82.68,7.88,5.07,4.019 ,0.000,0.012,0.01,0.120,0.027,0.031,3.86,
5/1/2019,Ann 91,Ann 91,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,13:40,9.9,,118.3,7.67,3.59,4.089 ,0.017,0.016,0.03,0.909,0.029,0.034,26.66,
6/19/2019,Ann 89,Ann 95,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,,,,88.56,7.72,,1.780,0.023,0.017,0.04,0.171,0.027,0.033,5.19,
6/19/2019,Ann 90,Ann 96,LSM,Little Shasta River,Above Musgrave,19,AKL,,,,127,7.65,,1.935,0.000,0.011,0.01,0.238,0.035,0.050,4.74,
6/19/2019,Ann 91,Ann 97,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,,,,200.1,7.55,,2.052,0.033,0.013,0.05,0.184,0.033,0.036,5.06,
7/22/2019,Ann 97,Ann 103,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,,,,116.5,7.84,3.62,1.712,0.003,0.026,0.03,0.166,0.041,0.041,4.05,
7/22/2019,Ann 98,Ann 104,LSM,Little Shasta River,Above Musgrave,19,AKL,,,,131.0,7.98,3.41,2.117,0.000,0.011,0.01,0.191,0.046,0.056,3.43,
7/22/2019,Ann 99,Ann 105,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,,,,270.1,7.59,2.5,1.872,0.035,0.022,0.06,0.399,0.038,0.049,8.06,
8/7/2019,Ann 113,Ann 113,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,17:05,19.9,,307.9,7.51,8.38,1.856,0.043 ,0.033,0.08,0.345,0.086,0.125,2.77,
8/7/2019,Ann 114,Ann 114,LSM,Little Shasta River,Above Musgrave,19,AKL,18:30,20.1,,114.3,7.8,1.67,1.969,0.006 ,0.007,0.01,0.212,0.057,0.056,3.75,
8/7/2019,Ann 115,Ann 115,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,19:10,21.3,,111.8,7.94,1.59,1.718,0.011 ,0.024,0.04,0.231,0.051,0.056,4.10,
9/9/2019,Ann 119,Ann 119,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,12:40,13.6,,119.2,7.86,2.56,1.372,0.043,0.095,0.14,0.181 ,0.051 ,0.061,2.95,
9/9/2019,Ann 120,Ann 120,LSM,Little Shasta River,Above Musgrave,19,AKL,13:00,14.8,,121.5,7.82,1.89,3.058,0.008,0.102,0.11,0.140 ,0.044 ,0.070,2.01,
9/9/2019,Ann 121,Ann 121,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,13:45,14.9,,206.5,7.58,15.5,1.629,0.046,0.047,0.09,0.277 ,0.046,0.133 ,2.09,
10/22/2019,Ann 127,Ann 127,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,9:05,7.6,,134.4,7.92,2.04,2.478,0.005 ,0.051,0.06,0.232,0.049,0.079 ,2.94,
10/22/2019,Ann 128,Ann 128,LSM,Little Shasta River,Above Musgrave,19,AKL,9:20,7.6,,141.1,7.95,1.06,2.919,0.008 ,0.009,0.02,0.155,0.049,0.049 ,3.15,
10/22/2019,Ann 129,Ann 129,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,9:30,7.6,,239.2,7.84,0.83,2.524,0.031 ,0.013,0.04,0.240,0.040,0.069 ,3.49,
11/15/2019,Ann 136,Ann 136,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,11:25,8.7,,108.2,7.77,1.2,1.278,0.000,0.080,0.08,0.146,0.069,0.071,2.08,
11/15/2019,Ann 137,Ann 137,LSM,Little Shasta River,Above Musgrave,19,AKL,11:40,9.2,,160.8,7.73,2.16,1.567,0.000,0.008,0.01,0.122,0.065,0.071,1.73,
11/15/2019,Ann 138,Ann 138,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,12:00,9.1,,287.1,7.57,1.09,1.632,0.022,0.023,0.05,0.137,0.048,0.061,2.26,
12/13/2019,Ann 145,Ann 145,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,15:10,7.2,drizzling,110.4,7.85,3.84,2.305,0.010,0.091,0.10,0.240,0.063,0.074,3.26,
12/13/2019,Ann 146,Ann 146,LSM,Little Shasta River,Above Musgrave,19,AKL,15:20,7.1,drizzling,185.2,7.87,5.22,2.965,0.011,0.046,0.06,0.259,0.083,0.142,1.82,
12/13/2019,Ann 147,Ann 147,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,13:25,7.1,drizzling,206.9,7.86,35.1,2.982,0.010,0.051,0.06,0.733,0.083,0.470,1.56,
1/23/2020,Ann 154,Ann 154,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,13:55,6.4,,135.9,7.76,3.10,1.496,0.010,0.102,0.11,0.564,0.062,0.071,7.99,
1/23/2020,Ann 155,Ann 155,LSM,Little Shasta River,Above Musgrave,19,AKL,14:20,6,,216.6,7.84,2.89,1.795,0.018,0.049,0.07,0.484,0.066,0.077,6.27,
1/23/2020,Ann 156,Ann 156,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,13:45,5.8,,248.8,7.96,2.79,1.821,0.010,0.046,0.06,0.340,0.066,0.093,3.64,
2/21/2020,Ann 163,Ann 163,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,17:15,7.4,,121.9,7.66,2.43,1.929,0.001,0.092,0.09,0.433,0.054,0.080,5.38,
2/21/2020,Ann 164,Ann 164,LSM,Little Shasta River,Above Musgrave,19,AKL,17:30,8,,210.5,7.77,2.72,2.231,0.000,0.031,0.03,0.520,0.071,0.090,5.77,
2/21/2020,Ann 165,Ann 165,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,17:06,8,,246.5,7.82,2.56,2.243,0.011,0.028,0.04,0.435,0.069,0.090,4.82,
3/12/2020,Ann 172,Ann 172,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,17:00,8.7,,112.2,9.11,5.36,2.591,0.017,0.008,0.03,0.340,0.025,0.048,7.01,
3/12/2020,Ann 173,Ann 173,LSM,Little Shasta River,Above Musgrave,19,AKL,17:05,9.3,,163.9,9.09,4.82,2.220,0.005,0.006,0.01,0.467,0.030,0.054,8.60,
3/12/2020,Ann 174,Ann 174,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,17:10,9.6,,243,8.83,4.86,2.145,0.023,0.012,0.03,0.391,0.022,0.057,6.83,
5/29/2020,Ann 186,Ann 186,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,15:10,19.6,,141.8,8.01,3.09,2.747,0.018,0.018,0.04,0.318,0.034,0.059,5.42,
5/29/2020,Ann 187,Ann 187,LSM,Little Shasta River,Above Musgrave,19,AKL,15:45,20.5,,274.3,7.88,2.38,2.900,0.030,0.028,0.06,0.296,0.037,0.065,4.56,
5/29/2020,Ann 188,Ann 188,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,17:00,21.1,,168.5,8.14,3.07,2.931,0.013,0.017,0.03,0.272,0.043,0.068,4.00,
6/11/2020,Ann 192,Ann 192,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,13:50,17.6,,156.0,8.15,1.86,2.955,0.029,0.021,0.05,0.320,0.043,0.051,6.28,
6/11/2020,Ann 193,Ann 193,LSM,Little Shasta River,Above Musgrave,19,AKL,14:40,18.2,,213.3,8.18,2.23,2.527,0.027,0.010,0.04,0.302,0.052,0.057,5.31,
6/11/2020,Ann 194,Ann 194,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,15:40,18.5,,302.5,8.01,2.46,2.514,0.036,0.031,0.07,0.354,0.048,0.069,5.14,
7/28/2020,Ann 210,,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,18:15,19,,131.7,8.15,1.19,1.380,0.005,0.045,0.05,0.189,0.441,0.527,0.36,
7/28/2020,Ann 211,,LSM,Little Shasta River,Above Musgrave,19,AKL,18:30,20.2,,137.6,8.03,8.08,1.531,0.011,0.001,0.01,0.183,0.238,0.245,0.75,
7/28/2020,Ann 212,Ann 212,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,AKL,18:50,20.9,,307.9,7.86,1.57,1.644,0.032,0.000,0.03,0.226,0.211,0.277,0.82,
8/13/2020,Ann 223,Ann 223,LSR,Little Shasta River,Bacigalupi boundary,21,KEH,15:40,18,,142.5,8.12,2.88,1.258,0.013,0.055,0.07,0.244,0.074,0.081,3.02,
8/13/2020,Ann 224,Ann 224,LSM,Little Shasta River,Above Musgrave,19,KEH,15:10,19.1,,156.7,8.09,3.12,1.436,0.012,0.025,0.04,0.258,0.077,0.063,4.12,
8/13/2020,Ann 225,Ann 225,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,KEH,15:05,19.1,,288.6,7.92,2.32,1.519,0.032,0.038,0.07,0.338,0.065,0.099,3.43,
9/21/2020,Ann 241,Ann 241,LSR,Little Shasta River,Bacigalupi boundary,21,KEH,15:30,13.6,,141.9,8.09,0.88,1.330,0.003,0.045,0.05,0.383,0.068,0.081,4.74,
9/21/2020,Ann 242,Ann 242,LSM,Little Shasta River,Above Musgrave,19,KEH,15:15,13.7,,161.4,8.08,1.87,1.475,0.002,0.013,0.01,0.316,0.069,0.069,4.60,
9/21/2020,Ann 243,Ann 243,LSH,Little Shasta River,Above Hart-Haight diversion,18.6,KEH,15:00,13.6,,322.7,7.47,1.21,1.177,0.017,0.022,0.04,0.385,0.051,0.054,7.15,
10/14/2020,Ann 258,Ann 258,LSR,Little Shasta River,Bacigalupi boundary,21,AKL,12:00,11.2,,129.4,7.65,2.19,1.532,0.043,0.120,0.16,0.296,0.071,0.081,3.66,
10/14/2020,Ann 259,Ann 259,LSM,Little Shasta River,Above Musgrave,19,AKL,12:55,11.3,,142.2,7.76,1.86,1.511,0.015,0.063,0.08,0.174,0.073,0.075,2.33,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
